replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
33,0.0058561304833227995,0.0054261038321365,0.011944499622636301,0.0006622653071770013,0.03742922821560368,0.0,0.03742922821560368,0.0,0.0,70.0,70.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,False
34,0.023520037186394477,0.0010241249644331873,0.025019087460289996,0.0004749253094623318,0.09896412850016534,0.0,0.09896412850016534,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False
35,0.00837384361217311,0.001377669094507608,0.0106223465247922,0.0008708338181114827,0.024131023106349014,0.0,0.024131023106349014,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
36,0.008611095200450308,0.00023930602409640012,0.009039274758396207,0.00018887353384949845,0.026320246915339796,0.0,0.026320246915339796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
37,0.009583971545950296,0.0006768750617779928,0.010465344306989699,0.0002044976992614106,0.041711305609915594,0.0,0.041711305609915594,0.0,10.0,10.0,20.0,0.0,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,False
38,0.02191157276008049,0.008794064449939798,0.03183692556812551,0.0011312883581052202,0.062960565567595,0.0,0.062960565567595,0.0,0.0,70.0,80.0,10.0,0.0,70.0,80.0,10.0,0.0,0.0,0.0,0.0,False
39,0.014543823591527394,0.00013375100401599727,0.014836854258403392,0.00015927966286000128,0.06880984321663419,0.0,0.06880984321663419,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False
40,0.005710710759068996,0.002756122311768694,0.0088033888236774,0.0003365557528397095,0.0790730759203433,0.0,0.0790730759203433,0.0,10.0,30.0,30.0,-10.0,10.0,30.0,30.0,-10.0,0.0,0.0,0.0,0.0,False
41,0.013672811186599701,0.0022219018133319973,0.0165035633300257,0.0006088503300940018,0.054503071155068694,0.0,0.054503071155068694,0.0,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,False
42,0.013932028140650796,0.0031173710144151018,0.017920291007617398,0.0008708918525515003,0.037623700875114685,0.0,0.037623700875114685,0.0,0.0,30.0,40.0,10.0,0.0,30.0,40.0,10.0,0.0,0.0,0.0,0.0,False
43,0.0020032227590428015,0.0,0.0020032227590428015,0.0,0.03623896937731738,0.0,0.03623896937731738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
44,0.011204456162619086,0.0,0.011204456162619086,0.0,0.05877006639096383,0.0,0.05877006639096383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
45,0.0037956045472209016,0.0017716584757467013,0.0060697543697164,0.0005024913467487971,0.00892561012933163,0.0,0.00892561012933163,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
46,0.006223808413216389,0.0036835430376554873,0.010621928893372282,0.0007145774425004053,0.002986570857064219,0.0,0.002986570857064219,0.0,10.0,40.0,50.0,0.0,10.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,False
47,0.007014384163806099,5.703614457840123e-05,0.007190932057768301,0.00011951174938380077,0.03864665655213845,0.0,0.03864665655213845,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False
48,0.013426335387994301,0.00020387154644130323,0.013647379567058804,1.717263262319968e-05,0.05259941868189549,0.0,0.05259941868189549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
49,0.014542032818388617,0.006891017346559891,0.022458284435081077,0.001025234270132569,0.04467422086879402,0.0,0.04467422086879402,0.0,10.0,60.0,60.0,-10.0,10.0,60.0,60.0,-10.0,0.0,0.0,0.0,0.0,False
50,0.0034856576416419996,0.0009613442329051008,0.004701790738397896,0.0002547888638507953,0.0169671467492728,0.0,0.0169671467492728,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
51,0.007519358669454301,0.0020205765956573113,0.010167786765578501,0.0006278515004668889,0.006635065745694946,0.0,0.006635065745694946,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
52,0.006178879803623,0.0001375582329317948,0.006567556296369292,0.00025111825981449787,0.007676087978566892,0.0,0.007676087978566892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
53,0.007949834943131423,0.02024287682970241,0.028989062771411223,0.0007963509985773887,0.0048525346091691235,0.0,0.0048525346091691235,0.0,0.0,160.0,160.0,0.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,False
54,0.0141731820121892,0.0032395848133408844,0.018258479549169898,0.0008457127236398132,0.005133405134755908,0.0,0.005133405134755908,0.0,0.0,30.0,40.0,10.0,0.0,30.0,40.0,10.0,0.0,0.0,0.0,0.0,False
55,0.006264370400602098,0.00010475304379150424,0.006408512063587904,3.938861919430131e-05,0.026966626568417584,0.0,0.026966626568417584,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,False
56,0.0184763236064395,0.049163086012107365,0.07080376829313331,0.0031643586745864483,0.07207122316984893,0.0,0.07207122316984893,0.0,0.0,300.0,310.0,10.0,0.0,300.0,310.0,10.0,0.0,0.0,0.0,0.0,False
57,0.004905458292360498,0.006599982101139698,0.0121237857771484,0.0006183453836482028,0.0006736414657076972,0.0,0.0006736414657076972,0.0,0.0,80.0,90.0,10.0,0.0,80.0,90.0,10.0,0.0,0.0,0.0,0.0,False
58,0.006610379995151502,0.0,0.006610379995151502,0.0,0.0419330642555259,0.0,0.0419330642555259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
59,0.019042374473664497,3.0232931726797974e-05,0.019164380456915694,9.177305152439919e-05,0.06747135558079753,0.0,0.06747135558079753,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False
60,0.010969771311859194,0.0032151593564841013,0.014693335145617104,0.0005084044772738078,0.018938882618835973,0.0,0.018938882618835973,0.0,0.0,30.0,30.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,False
61,0.009759254573881604,0.0024118671760756036,0.012772080592723403,0.0006009588427661958,0.04769217347849336,0.0,0.04769217347849336,0.0,0.0,30.0,40.0,10.0,0.0,30.0,40.0,10.0,0.0,0.0,0.0,0.0,False
62,0.0036682695815175026,0.0,0.0036682695815175026,0.0,0.013471247734458791,0.0,0.013471247734458791,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False
