R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,replication,psi_prop,psi_rec
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,1.0,0.8,1.0,0.8,0,0.8,0.8
0.910640988425926,0.089359011574074,0.5625000000000001,0.4374999999999999,53.0,213.0,False,876.0,0.0,1.0,10,operational,1.0,0.8,1.0,0.8,0,0.8,0.8
0.9261750325326796,0.07382496746732037,0.4325000000000001,0.5674999999999999,44.0,239.0,False,876.0,0.0,1.0,01,operational,1.0,0.8,1.0,0.8,0,0.8,0.8
0.6602649735413046,0.33973502645869535,0.5625000000000001,0.4374999999999999,53.0,,True,876.0,1.0,0.6849999999999998,11,operational,1.0,0.8,1.0,0.8,0,0.8,0.8
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,1.0,1.0,1.0,1.0,0,1.0,1.0
0.9037708883101851,0.09622911168981485,0.59771875,0.40228125000000003,56.0,213.0,False,876.0,0.0,1.0,10,operational,1.0,1.0,1.0,1.0,0,1.0,1.0
0.9248357114583333,0.07516428854166668,0.4325000000000001,0.5674999999999999,44.0,244.0,False,876.0,0.0,1.0,01,operational,1.0,1.0,1.0,1.0,0,1.0,1.0
0.505217383175555,0.494782616824445,0.59771875,0.40228125000000003,56.0,,True,876.0,1.0,0.51,11,operational,1.0,1.0,1.0,1.0,0,1.0,1.0
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
0.9182932380401234,0.08170676195987658,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,10,operational,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
0.9175999837962963,0.08240001620370374,0.5199999999999999,0.4800000000000001,44.0,233.0,False,876.0,0.0,1.0,01,operational,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
0.9166775604918825,0.08332243950811746,0.5199999999999999,0.4800000000000001,44.0,233.0,False,876.0,0.0,1.0,11,operational,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
0.9170650524691358,0.08293494753086417,0.5302624999999999,0.4697375000000001,56.0,230.0,False,876.0,0.0,1.0,10,operational,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
0.9156963888888889,0.08430361111111107,0.5199999999999999,0.4800000000000001,44.0,237.0,False,876.0,0.0,1.0,01,operational,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
0.9133846139878989,0.08661538601210106,0.5302624999999999,0.4697375000000001,56.0,238.0,False,876.0,0.0,1.0,11,operational,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.2,0.6,0.2,0.6,1,0.12,0.12
0.9158393842592591,0.08416061574074085,0.5404375,0.4595625,56.0,230.0,False,876.0,0.0,1.0,10,operational,0.2,0.6,0.2,0.6,1,0.12,0.12
0.9129487465277778,0.0870512534722222,0.5199999999999999,0.4800000000000001,44.0,244.0,False,876.0,0.0,1.0,01,operational,0.2,0.6,0.2,0.6,1,0.12,0.12
0.9090427744013728,0.09095722559862718,0.5404375,0.4595625,56.0,245.0,False,876.0,0.0,1.0,11,operational,0.2,0.6,0.2,0.6,1,0.12,0.12
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.2,0.8,0.2,0.8,1,0.16000000000000003,0.16000000000000003
0.9146241604938272,0.08537583950617278,0.5484,0.4516,54.0,230.0,False,876.0,0.0,1.0,10,operational,0.2,0.8,0.2,0.8,1,0.16000000000000003,0.16000000000000003
0.9088550570987655,0.09114494290123454,0.5199999999999999,0.4800000000000001,44.0,253.0,False,876.0,0.0,1.0,01,operational,0.2,0.8,0.2,0.8,1,0.16000000000000003,0.16000000000000003
0.9032262583985086,0.09677374160149144,0.5484,0.4516,54.0,255.0,False,876.0,0.0,1.0,11,operational,0.2,0.8,0.2,0.8,1,0.16000000000000003,0.16000000000000003
