R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,replication,psi_prop,psi_rec,q_prop_realised,kappa_prop_realised,psi_prop_realised,q_rec_realised,kappa_rec_realised,psi_rec_realised
0.8752113193288458,0.1247886806711542,0.5271829565375203,0.4728170434624796,360.0,1300.0,False,3760.0,0.0,0.9999999999999994,11,operational,0.6,1.0,0.6,1.0,1,0,0.6,0.6,0.5833333333333334,1.0,0.5833333333333334,0.6060606060606061,1.0,0.6060606060606061
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,1.0,0.25,1.0,0.25,0,0,0.25,0.25,,,,,,
0.9013283405270012,0.0986716594729988,0.4984763050253206,0.5015236949746794,360.0,1140.0,False,3760.0,0.0,0.9999999999999994,01,operational,1.0,0.25,1.0,0.25,0,0,0.25,0.25,0.0,0.0,0.0,1.0,0.25,0.25
0.8979328532810471,0.1020671467189529,0.5105212581120808,0.4894787418879192,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,1.0,0.25,1.0,0.25,0,0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0
0.8948509382965062,0.1051490617034938,0.5105212581120808,0.4894787418879192,360.0,1150.0,False,3760.0,0.0,0.9999999999999994,11,operational,1.0,0.25,1.0,0.25,0,0,0.25,0.25,1.0,0.25,0.25,1.0,0.25,0.25
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,1.0,0.25,1.0,0.25,1,0,0.25,0.25,,,,,,
0.9013283405270012,0.0986716594729988,0.4984763050253206,0.5015236949746794,360.0,1140.0,False,3760.0,0.0,0.9999999999999994,01,operational,1.0,0.25,1.0,0.25,1,0,0.25,0.25,0.0,0.0,0.0,1.0,0.25,0.25
0.8979328532810471,0.1020671467189529,0.5105212581120808,0.4894787418879192,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,1.0,0.25,1.0,0.25,1,0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0
0.8948509382965062,0.1051490617034938,0.5105212581120808,0.4894787418879192,360.0,1150.0,False,3760.0,0.0,0.9999999999999994,11,operational,1.0,0.25,1.0,0.25,1,0,0.25,0.25,1.0,0.25,0.25,1.0,0.25,0.25
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,1.0,0.6,1.0,0.6,0,0,0.6,0.6,,,,,,
0.8958446499538673,0.1041553500461327,0.4984763050253206,0.5015236949746794,360.0,1210.0,False,3760.0,0.0,0.9999999999999994,01,operational,1.0,0.6,1.0,0.6,0,0,0.6,0.6,0.0,0.0,0.0,1.0,0.6,0.6
0.8907885057469407,0.1092114942530593,0.5247937553126664,0.4752062446873336,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,1.0,0.6,1.0,0.6,0,0,0.6,0.6,1.0,0.6,0.6,0.0,0.0,0.0
0.8743149803129037,0.1256850196870963,0.5247937553126664,0.4752062446873336,360.0,1300.0,False,3760.0,0.0,0.9999999999999994,11,operational,1.0,0.6,1.0,0.6,0,0,0.6,0.6,1.0,0.6,0.6,1.0,0.6,0.6
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,1.0,0.6,1.0,0.6,1,0,0.6,0.6,,,,,,
0.8958446499538673,0.1041553500461327,0.4984763050253206,0.5015236949746794,360.0,1210.0,False,3760.0,0.0,0.9999999999999994,01,operational,1.0,0.6,1.0,0.6,1,0,0.6,0.6,0.0,0.0,0.0,1.0,0.6,0.6
0.8907885057469407,0.1092114942530593,0.5247937553126664,0.4752062446873336,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,1.0,0.6,1.0,0.6,1,0,0.6,0.6,1.0,0.6,0.6,0.0,0.0,0.0
