replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,psi_prop,psi_rec
1,0.002095780864197594,0.003464444444444492,0.005776219345434486,0.0002159940367923996,0.010262499999999952,0.0,0.010262499999999952,0.0,0.0,7.0,8.0,1.0,0.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
2,0.0032035333333333416,0.0006540971281118191,0.004310205487878749,0.00045257502643358816,0.026999999999999913,0.0,0.026999999999999913,0.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
3,0.0011250125000000777,0.0002287037037037587,0.0013755847459301362,2.186854222629986e-05,0.0030000000000000027,0.0,0.0030000000000000027,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
4,0.0014300096296294695,0.0007432395061727215,0.0022003928395060157,2.7143703703824684e-05,0.009999999999999898,0.0,0.009999999999999898,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
5,0.0008985703703702219,0.00018206148148147694,0.001105471075613207,2.4839223761508045e-05,0.006999999999999895,0.0,0.006999999999999895,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
6,0.0022765046296296942,0.010046446296296252,0.012985834983503475,0.0006628840575775286,0.0030000000000001137,0.0,0.0030000000000001137,0.0,0.0,17.0,18.0,1.0,0.0,17.0,18.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
7,0.0015894277777777077,0.0005440025679012139,0.002279945378395931,0.0001465150327170095,0.010875000000000079,0.0,0.010875000000000079,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
8,0.0014835193827161808,0.0009313688809148291,0.002465758390735817,5.087012710480732e-05,0.00011249999999995985,0.0,0.00011249999999995985,0.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
9,0.0019056222222221253,0.0015040362173649457,0.0034459676988463084,3.6309259259237336e-05,0.010000000000000009,0.0,0.010000000000000009,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
10,0.00046142444444441377,0.00016778444444442986,0.0006524691269821359,2.326023809329225e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
