R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,replication,psi_prop,psi_rec,q_prop_realised,kappa_prop_realised,psi_prop_realised,q_rec_realised,kappa_rec_realised,psi_rec_realised
0.9329406361111111,0.06705936388888889,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.6,0.2,0.6,2,0,0.12,0.12,0.2,0.6,0.12,0.0,0.0,0.0
0.9347334778984171,0.0652665221015829,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,01,operational,0.2,0.6,0.2,0.6,2,0,0.12,0.12,0.0,0.0,0.0,0.2,0.6,0.12
0.9322472537484632,0.06775274625153682,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,11,operational,0.2,0.6,0.2,0.6,2,0,0.12,0.12,0.2,0.6,0.12,0.2,0.6,0.12
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.6,0.2,0.6,3,0,0.12,0.12,,,,,,
0.9309468777777778,0.06905312222222215,0.4580000000000001,0.5419999999999999,49.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.6,0.2,0.6,3,0,0.12,0.12,0.2,0.6,0.12,0.0,0.0,0.0
0.9351005341981712,0.06489946580182882,0.4325000000000001,0.5674999999999999,44.0,214.0,False,876.0,0.0,1.0,01,operational,0.2,0.6,0.2,0.6,3,0,0.12,0.12,0.0,0.0,0.0,0.2,0.6,0.12
0.9306266271148378,0.06937337288516221,0.4580000000000001,0.5419999999999999,49.0,214.0,False,876.0,0.0,1.0,11,operational,0.2,0.6,0.2,0.6,3,0,0.12,0.12,0.2,0.6,0.12,0.2,0.6,0.12
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.8,0.2,0.8,0,0,0.16000000000000003,0.16000000000000003,,,,,,
0.9315575722222221,0.06844242777777787,0.45250000000000024,0.5474999999999998,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.8,0.2,0.8,0,0,0.16000000000000003,0.16000000000000003,0.2,0.8,0.16000000000000003,0.0,0.0,0.0
0.930137304287037,0.069862695712963,0.4325000000000001,0.5674999999999999,44.0,226.0,False,876.0,0.0,1.0,01,operational,0.2,0.8,0.2,0.8,0,0,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.2,0.8,0.16000000000000003
0.9259318728799527,0.07406812712004729,0.45250000000000024,0.5474999999999998,44.0,227.0,False,876.0,0.0,1.0,11,operational,0.2,0.8,0.2,0.8,0,0,0.16000000000000003,0.16000000000000003,0.2,0.8,0.16000000000000003,0.2,0.8,0.16000000000000003
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.8,0.2,0.8,1,0,0.16000000000000003,0.16000000000000003,,,,,,
0.9310638444444445,0.06893615555555554,0.4605,0.5395,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.8,0.2,0.8,1,0,0.16000000000000003,0.16000000000000003,0.2,0.8,0.16000000000000003,0.0,0.0,0.0
0.9302708509990253,0.06972914900097471,0.4325000000000001,0.5674999999999999,44.0,226.0,False,876.0,0.0,1.0,01,operational,0.2,0.8,0.2,0.8,1,0,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.2,0.8,0.16000000000000003
0.9254907154395628,0.07450928456043715,0.4605,0.5395,44.0,226.0,False,876.0,0.0,1.0,11,operational,0.2,0.8,0.2,0.8,1,0,0.16000000000000003,0.16000000000000003,0.2,0.8,0.16000000000000003,0.2,0.8,0.16000000000000003
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.8,0.2,0.8,2,0,0.16000000000000003,0.16000000000000003,,,,,,
0.931945524074074,0.06805447592592595,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.8,0.2,0.8,2,0,0.16000000000000003,0.16000000000000003,0.2,0.8,0.16000000000000003,0.0,0.0,0.0
0.9344895144771241,0.06551048552287586,0.4325000000000001,0.5674999999999999,44.0,216.0,False,876.0,0.0,1.0,01,operational,0.2,0.8,0.2,0.8,2,0,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.2,0.8,0.16000000000000003
0.930981047071273,0.06901895292872695,0.4325000000000001,0.5674999999999999,44.0,216.0,False,876.0,0.0,1.0,11,operational,0.2,0.8,0.2,0.8,2,0,0.16000000000000003,0.16000000000000003,0.2,0.8,0.16000000000000003,0.2,0.8,0.16000000000000003
