q_prop,kappa_prop,q_rec,kappa_rec,seed_design,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,psi_prop,psi_rec
0.2,0.6,0.2,0.6,2,0.002394979810956784,0.003125461716278477,0.005599137081510134,7.869555427487314e-05,0.011208750000000005,0.0,0.011208750000000005,0.0,0.06666666666666667,6.666666666666667,6.733333333333333,0.0,0.06666666666666667,6.666666666666667,6.733333333333333,0.0,0.0,0.0,0.0,0.0,0.12,0.12
0.2,0.6,0.2,0.6,3,0.002577665953703693,0.0061856914610388895,0.008973007474058737,0.00020965005931615396,0.013780833333333338,0.0,0.013780833333333338,0.0,0.06666666666666667,11.866666666666667,12.0,0.06666666666666667,0.06666666666666667,11.866666666666667,12.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.12,0.12
0.2,0.8,0.2,0.8,0,0.004190588218106998,0.006954275282790778,0.017108102601539357,0.005963239100641582,0.02520000000000003,0.0,0.02520000000000003,0.0,0.2,14.2,11.75,0.8333333333333334,0.2,14.2,134.86666666666667,120.46666666666667,0.0,0.0,0.2,0.2,0.16000000000000003,0.16000000000000003
0.2,0.8,0.2,0.8,1,0.004436676691358017,0.0058922871669529805,0.01975613770094508,0.009427173842634081,0.025719999999999972,0.0,0.025719999999999972,0.0,0.26666666666666666,12.266666666666667,12.454545454545455,1.1818181818181819,0.26666666666666666,12.266666666666667,181.8,169.26666666666668,0.0,0.0,0.26666666666666666,0.26666666666666666,0.16000000000000003,0.16000000000000003
0.2,0.8,0.2,0.8,2,0.003333765133744852,0.004163725283554672,0.007643659078571408,0.00014616866127188378,0.015626666666666664,0.0,0.015626666666666664,0.0,0.13333333333333333,9.4,9.466666666666667,-0.06666666666666667,0.13333333333333333,9.4,9.466666666666667,-0.06666666666666667,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.2,0.8,0.2,0.8,3,0.0035703509783950723,0.007459136280234225,0.011350865082432927,0.0003213778238036295,0.01984,0.0,0.01984,0.0,0.06666666666666667,15.533333333333333,15.6,0.0,0.06666666666666667,15.533333333333333,15.6,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.2,1.0,0.2,1.0,0,0.0053676797170781965,0.006892372257820023,0.024042636462140065,0.011782584487241846,0.03177083333333332,0.0,0.03177083333333332,0.0,0.26666666666666666,16.733333333333334,11.333333333333334,0.3333333333333333,0.26666666666666666,16.733333333333334,262.8666666666667,245.86666666666667,0.0,0.0,0.4,0.4,0.2,0.2
0.2,1.0,0.2,1.0,1,0.005672880586419749,0.00569154490391058,0.030942645770727376,0.01957822028039705,0.03257499999999996,0.0,0.03257499999999996,0.0,0.3333333333333333,14.4,16.666666666666668,0.5,0.3333333333333333,14.4,411.6666666666667,396.93333333333334,0.0,0.0,0.6,0.6,0.2,0.2
0.2,1.0,0.2,1.0,2,0.004276460178755137,0.004258940493307284,0.008762555912212134,0.00022715524014971233,0.019802083333333317,0.0,0.019802083333333317,0.0,0.2,11.0,11.2,0.0,0.2,11.0,11.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
0.2,1.0,0.2,1.0,3,0.004567410077160483,0.006763228725565843,0.011707651320216051,0.00037701251748972395,0.02508958333333331,0.0,0.02508958333333331,0.0,0.06666666666666667,16.8,16.866666666666667,0.0,0.06666666666666667,16.8,16.866666666666667,0.0,0.0,0.0,0.0,0.0,0.2,0.2
0.4,0.2,0.4,0.2,0,0.0014275998705954491,0.0016557981850501132,0.0032982715975564013,0.00021487354191083904,0.0,0.0,0.0,0.0,0.0,3.4,3.8666666666666667,0.4666666666666667,0.0,3.4,3.8666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.4,0.2,0.4,0.2,1,0.001552678356449344,0.0014507755977128205,0.0031767496802800185,0.00017329572611785398,0.0,0.0,0.0,0.0,0.0,3.0,3.3333333333333335,0.3333333333333333,0.0,3.0,3.3333333333333335,0.3333333333333333,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.4,0.2,0.4,0.2,2,0.001398986440039877,0.001548572717874889,0.0030549095059344777,0.0001073503480197117,0.0,0.0,0.0,0.0,0.0,3.2,3.2,0.0,0.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.4,0.2,0.4,0.2,3,0.001322582826131698,0.0017414772911662046,0.0031792010771214702,0.00011514095982356753,0.0,0.0,0.0,0.0,0.0,3.533333333333333,3.7333333333333334,0.2,0.0,3.533333333333333,3.7333333333333334,0.2,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.4,0.4,0.4,0.4,0,0.0038653387386831475,0.003763204757542356,0.008806486750237178,0.0011779432540116744,0.017850833333333333,0.0,0.017850833333333333,0.0,0.13333333333333333,7.933333333333334,10.066666666666666,2.0,0.13333333333333333,7.933333333333334,10.066666666666666,2.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.4,0.4,0.4,0.4,1,0.004072128462962965,0.0032871218833701106,0.008264899276096157,0.000905648929763081,0.015799166666666666,0.0,0.015799166666666666,0.0,0.06666666666666667,7.066666666666666,8.8,1.6666666666666667,0.06666666666666667,7.066666666666666,8.8,1.6666666666666667,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
