R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,kappa_prop,kappa_rec
0.9539849966882872,0.0460150033117127,0.3695245767964482,0.6304754232035518,360.0,730.0,False,3760.0,0.0,0.9999999999999992,01,operational,144,1,0.4,0.4
0.9511089730076416,0.0488910269923583,0.3816058642804874,0.6183941357195126,360.0,730.0,False,3760.0,0.0,0.9999999999999992,11,operational,144,11,0.4,0.4
0.9514029297248744,0.0485970702751255,0.3859432746160139,0.614056725383986,360.0,690.0,False,3760.0,0.0,0.9999999999999992,00,operational,152,0,0.4,0.4
0.9490074480545564,0.0509925519454437,0.4021908221732727,0.5978091778267273,360.0,690.0,False,3760.0,0.0,0.9999999999999992,10,operational,152,10,0.4,0.4
0.9499571064852588,0.0500428935147413,0.3859432746160139,0.614056725383986,360.0,710.0,False,3760.0,0.0,0.9999999999999992,01,operational,152,1,0.4,0.4
0.9468632846658176,0.0531367153341825,0.4021908221732727,0.5978091778267273,360.0,710.0,False,3760.0,0.0,0.9999999999999992,11,operational,152,11,0.4,0.4
0.8053348392076952,0.1946651607923047,0.7006717638875042,0.2993282361124958,360.0,1750.0,False,3760.0,0.0,0.9999999999999992,00,operational,160,0,0.4,0.4
0.7957554630828049,0.2042445369171951,0.7336918386433587,0.2663081613566412,360.0,1750.0,False,3760.0,0.0,0.9999999999999992,10,operational,160,10,0.4,0.4
0.7937975375737093,0.2062024624262907,0.7006717638875042,0.2993282361124958,360.0,1850.0,False,3760.0,0.0,0.9999999999999992,01,operational,160,1,0.4,0.4
0.7820552377640412,0.2179447622359588,0.7336918386433587,0.2663081613566412,360.0,1860.0,False,3760.0,0.0,0.9999999999999992,11,operational,160,11,0.4,0.4
0.8931362323401708,0.1068637676598291,0.63252372060409,0.36747627939591,360.0,1190.0,False,3760.0,0.0,0.9999999999999992,00,operational,168,0,0.4,0.4
0.8867631621356986,0.1132368378643013,0.6662212410230641,0.3337787589769359,360.0,1190.0,False,3760.0,0.0,0.9999999999999992,10,operational,168,10,0.4,0.4
0.8795888141285707,0.1204111858714293,0.63252372060409,0.36747627939591,360.0,1310.0,False,3760.0,0.0,0.9999999999999992,01,operational,168,1,0.4,0.4
0.8715902598005608,0.1284097401994391,0.6662212410230641,0.3337787589769359,360.0,1330.0,False,3760.0,0.0,0.9999999999999992,11,operational,168,11,0.4,0.4
0.9590229468365636,0.0409770531634362,0.3559770025599794,0.6440229974400206,360.0,650.0,False,3760.0,0.0,0.9999999999999992,00,operational,176,0,0.4,0.4
0.9562510799762424,0.0437489200237577,0.3735489521554339,0.6264510478445661,360.0,660.0,False,3760.0,0.0,0.9999999999999992,10,operational,176,10,0.4,0.4
0.9554616545689714,0.0445383454310286,0.3559770025599794,0.6440229974400206,360.0,700.0,False,3760.0,0.0,0.9999999999999992,01,operational,176,1,0.4,0.4
0.9523357235480444,0.0476642764519555,0.3735489521554339,0.6264510478445661,360.0,710.0,False,3760.0,0.0,0.9999999999999992,11,operational,176,11,0.4,0.4
0.8291608028020413,0.1708391971979587,0.8854288478226945,0.1145711521773055,360.0,1590.0,False,3760.0,0.0,0.9999999999999992,00,operational,184,0,0.4,0.4
0.8190310248970194,0.1809689751029806,0.927935765827401,0.0720642341725989,360.0,1590.0,False,3760.0,0.0,0.9999999999999992,10,operational,184,10,0.4,0.4
0.8204215748413128,0.1795784251586871,0.8854288478226945,0.1145711521773055,360.0,1670.0,False,3760.0,0.0,0.9999999999999992,01,operational,184,1,0.4,0.4
0.8062535341725903,0.1937464658274097,0.927935765827401,0.0720642341725989,360.0,1690.0,False,3760.0,0.0,0.9999999999999992,11,operational,184,11,0.4,0.4
0.9468689475309,0.0531310524690999,0.3348726442005597,0.6651273557994403,360.0,860.0,False,3760.0,0.0,0.9999999999999992,00,operational,192,0,0.4,0.4
