R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,access_threshold,kappa,T_eval
0.8493955742881946,0.1506044257118054,0.6994798774918642,0.3005201225081357,360.0,1500.0,False,3760.0,0.0,0.9999999999999992,00,operational,91,0.3,0.5,4000.0
0.8367956691346244,0.1632043308653755,0.737655581335293,0.262344418664707,360.0,1500.0,False,3760.0,0.0,0.9999999999999992,10,operational,91,0.3,0.5,4000.0
0.84336019204662,0.1566398079533799,0.6994798774918642,0.3005201225081357,360.0,1560.0,False,3760.0,0.0,0.9999999999999992,01,operational,91,0.3,0.5,4000.0
0.8277569589087491,0.1722430410912508,0.737655581335293,0.262344418664707,360.0,1580.0,False,3760.0,0.0,0.9999999999999992,11,operational,91,0.3,0.5,4000.0
0.8649185848936538,0.1350814151063462,0.549417953193716,0.450582046806284,360.0,1430.0,False,3760.0,0.0,0.9999999999999992,00,operational,101,0.3,0.5,4000.0
0.8567851662421666,0.1432148337578334,0.5628224183254108,0.4371775816745892,360.0,1430.0,False,3760.0,0.0,0.9999999999999992,10,operational,101,0.3,0.5,4000.0
0.8605884491381899,0.1394115508618101,0.549417953193716,0.450582046806284,360.0,1470.0,False,3760.0,0.0,0.9999999999999992,01,operational,101,0.3,0.5,4000.0
0.8496432097240504,0.1503567902759496,0.5628224183254108,0.4371775816745892,360.0,1500.0,False,3760.0,0.0,0.9999999999999992,11,operational,101,0.3,0.5,4000.0
0.8715078033940833,0.1284921966059167,0.6217048806401261,0.3782951193598739,360.0,1370.0,False,3760.0,0.0,0.9999999999999992,00,operational,111,0.3,0.5,4000.0
0.8602672511064221,0.1397327488935779,0.6596125076565019,0.3403874923434981,360.0,1370.0,False,3760.0,0.0,0.9999999999999992,10,operational,111,0.3,0.5,4000.0
0.8626528687909938,0.1373471312090062,0.6217048806401261,0.3782951193598739,360.0,1450.0,False,3760.0,0.0,0.9999999999999992,01,operational,111,0.3,0.5,4000.0
0.8482616633203274,0.1517383366796726,0.6596125076565019,0.3403874923434981,360.0,1490.0,False,3760.0,0.0,0.9999999999999992,11,operational,111,0.3,0.5,4000.0
0.8997624791479826,0.1002375208520174,0.7300626216492182,0.2699373783507818,360.0,1070.0,False,3760.0,0.0,0.9999999999999992,00,operational,121,0.3,0.5,4000.0
0.8876666693218606,0.1123333306781394,0.7882171679413864,0.2117828320586135,360.0,1070.0,False,3760.0,0.0,0.9999999999999992,10,operational,121,0.3,0.5,4000.0
0.8979160423170512,0.1020839576829487,0.7300626216492182,0.2699373783507818,360.0,1090.0,False,3760.0,0.0,0.9999999999999992,01,operational,121,0.3,0.5,4000.0
0.8844497056633268,0.1155502943366731,0.7882171679413864,0.2117828320586135,360.0,1110.0,False,3760.0,0.0,0.9999999999999992,11,operational,121,0.3,0.5,4000.0
0.8564919434771412,0.1435080565228588,0.6326526403460961,0.3673473596539038,360.0,1520.0,False,3760.0,0.0,0.9999999999999992,00,operational,131,0.3,0.5,4000.0
0.8459160435156126,0.1540839564843874,0.676689079160435,0.323310920839565,360.0,1520.0,False,3760.0,0.0,0.9999999999999992,10,operational,131,0.3,0.5,4000.0
0.8559364860969978,0.1440635139030022,0.6326526403460961,0.3673473596539038,360.0,1530.0,False,3760.0,0.0,0.9999999999999992,01,operational,131,0.3,0.5,4000.0
0.8448421582037807,0.1551578417962192,0.676689079160435,0.323310920839565,360.0,1530.0,False,3760.0,0.0,0.9999999999999992,11,operational,131,0.3,0.5,4000.0
0.9489959095361108,0.051004090463889,0.3911782884424872,0.6088217115575127,360.0,700.0,False,3760.0,0.0,0.9999999999999992,00,operational,141,0.3,0.5,4000.0
0.944041690368009,0.055958309631991,0.4116409074419674,0.5883590925580325,360.0,710.0,False,3760.0,0.0,0.9999999999999992,10,operational,141,0.3,0.5,4000.0
0.9488273120711412,0.0511726879288588,0.3911782884424872,0.6088217115575127,360.0,710.0,False,3760.0,0.0,0.9999999999999992,01,operational,141,0.3,0.5,4000.0
0.9437554774865656,0.0562445225134344,0.4116409074419674,0.5883590925580325,360.0,720.0,False,3760.0,0.0,0.9999999999999992,11,operational,141,0.3,0.5,4000.0
0.9323161428046772,0.0676838571953226,0.4263686587335416,0.5736313412664584,360.0,880.0,False,3760.0,0.0,0.9999999999999992,00,operational,151,0.3,0.5,4000.0
0.92700068603513,0.0729993139648699,0.4426296444744507,0.5573703555255493,360.0,880.0,False,3760.0,0.0,0.9999999999999992,10,operational,151,0.3,0.5,4000.0
0.9317416556894088,0.0682583443105911,0.4263686587335416,0.5736313412664584,360.0,880.0,False,3760.0,0.0,0.9999999999999992,01,operational,151,0.3,0.5,4000.0
0.9251856469222384,0.0748143530777615,0.4426296444744507,0.5573703555255493,360.0,900.0,False,3760.0,0.0,0.9999999999999992,11,operational,151,0.3,0.5,4000.0
0.8319089254369865,0.1680910745630135,0.6179838513106659,0.382016148689334,360.0,1640.0,False,3760.0,0.0,0.9999999999999992,00,operational,161,0.3,0.5,4000.0
0.8232362263203955,0.1767637736796045,0.6292156819932112,0.3707843180067888,360.0,1640.0,False,3760.0,0.0,0.9999999999999992,10,operational,161,0.3,0.5,4000.0
0.8159793795260865,0.1840206204739135,0.6179838513106659,0.382016148689334,360.0,1770.0,False,3760.0,0.0,0.9999999999999992,01,operational,161,0.3,0.5,4000.0
0.802500300129268,0.197499699870732,0.6292156819932112,0.3707843180067888,360.0,1810.0,False,3760.0,0.0,0.9999999999999992,11,operational,161,0.3,0.5,4000.0
0.8878023434470724,0.1121976565529275,0.5140688623737275,0.4859311376262725,360.0,1290.0,False,3760.0,0.0,0.9999999999999992,00,operational,171,0.3,0.5,4000.0
0.8813827926534396,0.1186172073465604,0.5206866981602195,0.4793133018397805,360.0,1290.0,False,3760.0,0.0,0.9999999999999992,10,operational,171,0.3,0.5,4000.0
0.8875199400577515,0.1124800599422485,0.5140688623737275,0.4859311376262725,360.0,1300.0,False,3760.0,0.0,0.9999999999999992,01,operational,171,0.3,0.5,4000.0
0.8807758098344696,0.1192241901655304,0.5206866981602195,0.4793133018397805,360.0,1300.0,False,3760.0,0.0,0.9999999999999992,11,operational,171,0.3,0.5,4000.0
0.9489089424201724,0.0510910575798275,0.4750092472414219,0.5249907527585781,360.0,760.0,False,3760.0,0.0,0.9999999999999992,00,operational,181,0.3,0.5,4000.0
0.9421111886256748,0.0578888113743253,0.5619661778761498,0.4380338221238502,360.0,760.0,False,3760.0,0.0,0.9999999999999992,10,operational,181,0.3,0.5,4000.0
0.9466658611284208,0.0533341388715791,0.4750092472414219,0.5249907527585781,360.0,790.0,False,3760.0,0.0,0.9999999999999992,01,operational,181,0.3,0.5,4000.0
0.9380363936185472,0.0619636063814528,0.5619661778761498,0.4380338221238502,360.0,810.0,False,3760.0,0.0,0.9999999999999992,11,operational,181,0.3,0.5,4000.0
