R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,design_seed
0.0996310276653136,0.9003689723346864,0.9283535567222784,0.0716464432777216,200.0,,True,3760.0,1.0,0.0734484579158179,11,operational,56,11,0
0.950326834663224,0.0496731653367761,0.405369341195413,0.594630658804587,360.0,760.0,False,3760.0,0.0,0.9999999999999992,00,operational,61,0,0
0.9405675800893424,0.0594324199106577,0.4530615146739064,0.5469384853260936,360.0,760.0,False,3760.0,0.0,0.9999999999999992,10,operational,61,10,0
0.9457283458064366,0.0542716541935633,0.405369341195413,0.594630658804587,360.0,840.0,False,3760.0,0.0,0.9999999999999992,01,operational,61,1,0
0.8634554847775532,0.1365445152224468,0.4530615146739064,0.5469384853260936,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,61,11,0
0.955871877785011,0.0441281222149889,0.399502643192472,0.600497356807528,360.0,640.0,False,3760.0,0.0,0.9999999999999992,00,operational,66,0,0
0.951140001510305,0.048859998489695,0.4222746532146043,0.5777253467853957,360.0,650.0,False,3760.0,0.0,0.9999999999999992,10,operational,66,10,0
0.955532006153174,0.0444679938468259,0.399502643192472,0.600497356807528,360.0,650.0,False,3760.0,0.0,0.9999999999999992,01,operational,66,1,0
0.9499585630325984,0.0500414369674014,0.4222746532146043,0.5777253467853957,360.0,670.0,False,3760.0,0.0,0.9999999999999992,11,operational,66,11,0
0.830445574185422,0.169554425814578,0.8123323135174875,0.1876676864825125,360.0,1490.0,False,3760.0,0.0,0.9999999999999992,00,operational,71,0,0
0.8129527010983375,0.1870472989016625,0.8900323403835679,0.109967659616432,360.0,1490.0,False,3760.0,0.0,0.9999999999999992,10,operational,71,10,0
0.8098061830898333,0.1901938169101666,0.8123323135174875,0.1876676864825125,360.0,1740.0,False,3760.0,0.0,0.9999999999999992,01,operational,71,1,0
0.605461685792642,0.3945383142073579,0.8900323403835679,0.109967659616432,360.0,,True,3760.0,1.0,0.745264659859689,11,operational,71,11,0
0.816757464193826,0.183242535806174,0.8930912865160883,0.1069087134839117,360.0,1640.0,False,3760.0,0.0,0.9999999999999992,00,operational,76,0,0
0.7893025929138786,0.2106974070861214,0.981748655643684,0.0182513443563161,360.0,1640.0,False,3760.0,0.0,0.9999999999999992,10,operational,76,10,0
0.7958354304159388,0.2041645695840611,0.8930912865160883,0.1069087134839117,360.0,1870.0,False,3760.0,0.0,0.9999999999999992,01,operational,76,1,0
0.6781830361602126,0.3218169638397874,0.981748655643684,0.0182513443563161,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,76,11,0
0.8596768026503355,0.1403231973496644,0.6529814460976289,0.3470185539023711,360.0,1480.0,False,3760.0,0.0,0.9999999999999992,00,operational,81,0,0
0.8397852579110203,0.1602147420889796,0.7330407405192688,0.2669592594807312,360.0,1480.0,False,3760.0,0.0,0.9999999999999992,10,operational,81,10,0
0.8398158244056583,0.1601841755943417,0.6529814460976289,0.3470185539023711,360.0,1710.0,False,3760.0,0.0,0.9999999999999992,01,operational,81,1,0
0.6967268029634874,0.3032731970365125,0.7330407405192688,0.2669592594807312,360.0,,True,3760.0,1.0,0.8435994411819694,11,operational,81,11,0
0.9096800050565604,0.0903199949434394,0.4797790232247247,0.5202209767752752,360.0,1060.0,False,3760.0,0.0,0.9999999999999992,00,operational,86,0,0
0.9047371236526488,0.0952628763473513,0.4872652566406286,0.5127347433593714,360.0,1060.0,False,3760.0,0.0,0.9999999999999992,10,operational,86,10,0
0.9017831794765246,0.0982168205234753,0.4797790232247247,0.5202209767752752,360.0,1170.0,False,3760.0,0.0,0.9999999999999992,01,operational,86,1,0
0.8303463958320576,0.1696536041679424,0.4872652566406286,0.5127347433593714,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,86,11,0
0.8493955742881946,0.1506044257118054,0.6994798774918642,0.3005201225081357,360.0,1500.0,False,3760.0,0.0,0.9999999999999992,00,operational,91,0,0
0.8299242534283092,0.1700757465716907,0.7487369160778926,0.2512630839221074,360.0,1500.0,False,3760.0,0.0,0.9999999999999992,10,operational,91,10,0
0.8393469330608511,0.1606530669391489,0.6994798774918642,0.3005201225081357,360.0,1610.0,False,3760.0,0.0,0.9999999999999992,01,operational,91,1,0
0.7216169580848293,0.2783830419151707,0.7487369160778926,0.2512630839221074,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,91,11,0
0.8830023941902104,0.1169976058097895,0.5778928055774117,0.4221071944225882,360.0,1320.0,False,3760.0,0.0,0.9999999999999992,00,operational,96,0,0
