R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,seed_hazard,q_prop,kappa_prop,q_rec,kappa_rec,psi_prop,psi_rec,frac_damaged
0.9742674848001218,0.02573251519987818,0.33467491148973716,0.6653250885102628,360.0,450.0,False,3760.0,0.0,0.9999999999999994,00,operational,7,7,0.5,0.8,0.5,0.8,0.4,0.4,0.19298245614035087
0.9722516594973754,0.027748340502624647,0.34877027941904604,0.651229720580954,360.0,450.0,False,3760.0,0.0,0.9999999999999994,10,operational,7,7,0.5,0.8,0.5,0.8,0.4,0.4,0.19298245614035087
0.9739384337152485,0.026061566284751536,0.33467491148973716,0.6653250885102628,360.0,450.0,False,3760.0,0.0,0.9999999999999994,01,operational,7,7,0.5,0.8,0.5,0.8,0.4,0.4,0.19298245614035087
0.9712621270596619,0.02873787294033814,0.34877027941904604,0.651229720580954,360.0,470.0,False,3760.0,0.0,0.9999999999999994,11,operational,7,7,0.5,0.8,0.5,0.8,0.4,0.4,0.19298245614035087
0.9632442181485306,0.03675578185146944,0.3179479366900463,0.6820520633099537,360.0,600.0,False,3760.0,0.0,0.9999999999999994,00,operational,8,8,0.5,0.8,0.5,0.8,0.4,0.4,0.15789473684210525
0.9603163281477449,0.039683671852255076,0.3411799844947423,0.6588200155052577,360.0,600.0,False,3760.0,0.0,0.9999999999999994,10,operational,8,8,0.5,0.8,0.5,0.8,0.4,0.4,0.15789473684210525
0.9613726435301926,0.03862735646980742,0.3179479366900463,0.6820520633099537,360.0,640.0,False,3760.0,0.0,0.9999999999999994,01,operational,8,8,0.5,0.8,0.5,0.8,0.4,0.4,0.15789473684210525
0.8823318801294211,0.1176681198705789,0.3411799844947423,0.6588200155052577,360.0,,True,3760.0,1.0,0.9057786114981471,11,operational,8,8,0.5,0.8,0.5,0.8,0.4,0.4,0.15789473684210525
0.912626783325795,0.08737321667420495,0.4952509744135747,0.5047490255864253,360.0,1000.0,False,3760.0,0.0,0.9999999999999994,00,operational,9,9,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.905866854040504,0.09413314595949596,0.5059705209670405,0.49402947903295946,360.0,1000.0,False,3760.0,0.0,0.9999999999999994,10,operational,9,9,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.9087000939690113,0.0912999060309887,0.4952509744135747,0.5047490255864253,360.0,1060.0,False,3760.0,0.0,0.9999999999999994,01,operational,9,9,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.834539529246721,0.16546047075327897,0.5059705209670405,0.49402947903295946,360.0,,True,3760.0,1.0,0.9057786114981471,11,operational,9,9,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.9268345689956381,0.0731654310043619,0.46060121397021836,0.5393987860297816,360.0,950.0,False,3760.0,0.0,0.9999999999999994,00,operational,10,10,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.9208792188394352,0.07912078116056476,0.4668062246838185,0.5331937753161815,360.0,950.0,False,3760.0,0.0,0.9999999999999994,10,operational,10,10,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.9135091892921366,0.08649081070786335,0.46060121397021836,0.5393987860297816,360.0,1110.0,False,3760.0,0.0,0.9999999999999994,01,operational,10,10,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.797415898375139,0.20258410162486096,0.4668062246838185,0.5331937753161815,360.0,,True,3760.0,1.0,0.8436664866008999,11,operational,10,10,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.895957700215369,0.10404229978463098,0.768391630305212,0.23160836969478804,360.0,1130.0,False,3760.0,0.0,0.9999999999999994,00,operational,11,11,0.5,0.8,0.5,0.8,0.4,0.4,0.3684210526315789
0.8776873679242544,0.12231263207574561,0.8929959977527929,0.10700400224720706,360.0,1130.0,False,3760.0,0.0,0.9999999999999994,10,operational,11,11,0.5,0.8,0.5,0.8,0.4,0.4,0.3684210526315789
0.8833410706283732,0.11665892937162681,0.768391630305212,0.23160836969478804,360.0,1250.0,False,3760.0,0.0,0.9999999999999994,01,operational,11,11,0.5,0.8,0.5,0.8,0.4,0.4,0.3684210526315789
0.7909601010904209,0.20903989890957908,0.8929959977527929,0.10700400224720706,360.0,1190.0,False,3760.0,0.0,0.9999999999999994,11,operational,11,11,0.5,0.8,0.5,0.8,0.4,0.4,0.3684210526315789
0.877677771755127,0.12232222824487304,0.759499356314975,0.24050064368502494,360.0,1260.0,False,3760.0,0.0,0.9999999999999994,00,operational,12,12,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8641052185540948,0.13589478144590517,0.8219281080159674,0.17807189198403262,360.0,1260.0,False,3760.0,0.0,0.9999999999999994,10,operational,12,12,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8643855248124693,0.13561447518753067,0.759499356314975,0.24050064368502494,360.0,1430.0,False,3760.0,0.0,0.9999999999999994,01,operational,12,12,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8506697652975965,0.14933023470240347,0.8219281080159674,0.17807189198403262,360.0,1460.0,False,3760.0,0.0,0.9999999999999994,11,operational,12,12,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8497072259653052,0.15029277403469476,0.5626285018402096,0.4373714981597904,360.0,1500.0,False,3760.0,0.0,0.9999999999999994,00,operational,13,13,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
