R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check
0.9724960010109092,0.0275039989890907,0.6770644210481331,0.3229355789518668,360.0,2720.0,False,34760.0,0.0,0.9999999999999976,10,operational,4,10
0.9705797089661706,0.0294202910338293,0.6440110161619512,0.3559889838380487,360.0,3510.0,False,34760.0,0.0,0.9999999999999976,01,operational,4,1
0.597943729293435,0.402056270706565,0.6770644210481331,0.3229355789518668,360.0,,True,34760.0,1.0,0.601077660317667,11,operational,4,11
0.9789141522147516,0.0210858477852483,0.7260550689484022,0.2739449310515977,360.0,2030.0,False,34760.0,0.0,0.9999999999999974,00,operational,24,0
0.9771168896698792,0.0228831103301208,0.7883972379582824,0.2116027620417176,360.0,2030.0,False,34760.0,0.0,0.9999999999999974,10,operational,24,10
0.9748908051688676,0.0251091948311324,0.7260550689484022,0.2739449310515977,360.0,2640.0,False,34760.0,0.0,0.9999999999999974,01,operational,24,1
0.9055229700169722,0.0944770299830277,0.7883972379582824,0.2116027620417176,360.0,,True,34760.0,1.0,0.9317812653019064,11,operational,24,11
0.962417096927388,0.0375829030726119,0.7771610048958538,0.2228389951041461,360.0,3490.0,False,34760.0,0.0,0.9999999999999976,00,operational,44,0
0.9613614171700416,0.0386385828299584,0.7852660847588495,0.2147339152411504,360.0,3490.0,False,34760.0,0.0,0.9999999999999976,10,operational,44,10
0.9557390427470068,0.0442609572529931,0.7771610048958538,0.2228389951041461,360.0,4410.0,False,34760.0,0.0,0.9999999999999976,01,operational,44,1
0.8183492560120501,0.1816507439879499,0.7852660847588495,0.2147339152411504,360.0,,True,34760.0,1.0,0.8461534867332533,11,operational,44,11
0.9792349406258468,0.020765059374153,0.6033783214511395,0.3966216785488605,360.0,2350.0,False,34760.0,0.0,0.9999999999999976,00,operational,64,0
0.9783546625495008,0.0216453374504991,0.6366731105033093,0.3633268894966907,360.0,2350.0,False,34760.0,0.0,0.9999999999999976,10,operational,64,10
0.9751012756907492,0.0248987243092506,0.6033783214511395,0.3966216785488605,360.0,2870.0,False,34760.0,0.0,0.9999999999999976,01,operational,64,1
0.9745466270705512,0.0254533729294489,0.6366731105033093,0.3633268894966907,360.0,2780.0,False,34760.0,0.0,0.9999999999999976,11,operational,64,11
0.9868838965724156,0.0131161034275844,0.4285559507338582,0.5714440492661418,360.0,1690.0,False,34760.0,0.0,0.9999999999999976,00,operational,84,0
0.9858426248479788,0.0141573751520212,0.4728981403324205,0.5271018596675795,360.0,1690.0,False,34760.0,0.0,0.9999999999999976,10,operational,84,10
0.983127027728154,0.016872972271846,0.4285559507338582,0.5714440492661418,360.0,2140.0,False,34760.0,0.0,0.9999999999999976,01,operational,84,1
0.984052609481332,0.015947390518668,0.4728981403324205,0.5271018596675795,360.0,2110.0,False,34760.0,0.0,0.9999999999999976,11,operational,84,11
0.9757918970987776,0.0242081029012223,0.6968649274698753,0.3031350725301246,360.0,2570.0,False,34760.0,0.0,0.9999999999999976,00,operational,104,0
0.974775515972995,0.0252244840270049,0.7302150017646067,0.2697849982353933,360.0,2570.0,False,34760.0,0.0,0.9999999999999976,10,operational,104,10
0.9740437194493464,0.0259562805506535,0.6968649274698753,0.3031350725301246,360.0,3200.0,False,34760.0,0.0,0.9999999999999976,01,operational,104,1
0.9737668235027482,0.0262331764972517,0.7302150017646067,0.2697849982353933,360.0,3170.0,False,34760.0,0.0,0.9999999999999976,11,operational,104,11
0.9868386923776228,0.0131613076223771,0.4516355509436225,0.5483644490563775,360.0,1680.0,False,34760.0,0.0,0.9999999999999976,00,operational,124,0
0.986177684758164,0.0138223152418358,0.4905514978533692,0.5094485021466307,360.0,1680.0,False,34760.0,0.0,0.9999999999999976,10,operational,124,10
0.9858030526753352,0.0141969473246649,0.4516355509436226,0.5483644490563774,360.0,1900.0,False,34760.0,0.0,0.9999999999999976,01,operational,124,1
0.9851461960710428,0.014853803928957,0.4905514978533692,0.5094485021466307,360.0,1900.0,False,34760.0,0.0,0.9999999999999976,11,operational,124,11
