replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored,q_prop,kappa_prop,q_rec,kappa_rec
22,0.0017272997712535973,7.409371331210113e-05,0.0018393242183461014,3.7930733780403014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
23,0.003874034211536606,0.0001955863534588015,0.004618627914470701,0.0005490073494752931,0.01944754787801889,0.0,0.01944754787801889,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
24,0.010945757060111208,0.0027782005803129034,0.020059626227600505,0.0063356685871763935,0.0803008124088142,0.0,0.0803008124088142,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
25,0.008067735769118692,0.00028135584000130165,0.008754098780792405,0.0004050071716724113,0.0406984975010416,0.0,0.0406984975010416,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
26,0.006441824104489791,0.0106124851575925,0.020647271300188508,0.0035929620381062177,0.007089158216180169,0.0,0.007089158216180169,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
27,0.0006111646004516996,5.65648105328026e-05,0.0006763939826883031,8.66457170380086e-06,0.004572086837364875,0.0,0.004572086837364875,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
28,0.0076790093182904084,0.026306818478365593,0.036340273116795815,0.002354445320139814,0.013896479170798282,0.0,0.013896479170798282,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
29,0.003708113598981294,0.028276314877316105,0.032940427063187006,0.0009559985868896059,0.02987069507078799,0.0,0.02987069507078799,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
30,0.005443486770279601,0.0007573369498471011,0.007015363340292402,0.0008145396201656996,0.029705327297970707,0.0,0.029705327297970707,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
31,0.0004249264216241999,0.0,0.0004249264216241999,0.0,0.0021173226108803234,0.0,0.0021173226108803234,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
32,0.0036882544676438977,0.003747560935483202,0.007836052131285992,0.00040023672815889255,0.00021738772221491232,0.0,0.00021738772221491232,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
33,0.0007011116339246948,0.012161666879847197,0.013508551195677704,0.0006457726819058124,0.019424483215619626,0.0,0.019424483215619626,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
34,0.013853311172347477,0.003976247115572179,0.01928554541939209,0.001455987131472436,0.04959852710800705,0.0,0.04959852710800705,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
35,0.0025268283788089096,0.00029086860333969733,0.002845747268036908,2.805028588830083e-05,0.007018305423933391,0.0,0.007018305423933391,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
36,0.004046968537672002,0.0,0.004046968537672002,0.0,0.012918014619624996,0.0,0.012918014619624996,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
37,0.0063987860548594955,0.0016387168422745957,0.009155686013255601,0.00111818311612151,0.01914275584297892,0.0,0.01914275584297892,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
38,0.010802400217214403,0.0003092452761264963,0.012111541600698994,0.0009998961073580948,0.02903669241919038,0.0,0.02903669241919038,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
39,0.005598915404743193,0.004057321553045695,0.009800404344330799,0.0001441673865419102,0.0387623852789688,0.0,0.0387623852789688,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
40,0.0038477104527552958,3.813263263870159e-05,0.003920038943012599,3.419585761860189e-05,0.039240814523446854,0.0,0.039240814523446854,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
41,0.007021936502203202,0.0003606197223726959,0.007785193484358605,0.0004026372597827066,0.030606723928445212,0.0,0.030606723928445212,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
42,0.008191248580021793,0.0023789376391517986,0.012898067368993599,0.0023278811498200075,0.021114272381671517,0.0,0.021114272381671517,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
43,0.0009530224037173005,1.1722600367700467e-05,0.0009663877277085002,1.6427236234992787e-06,0.0170908903482149,0.0,0.0170908903482149,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
44,0.007579968357461581,0.0143508740596755,0.025008824001218177,0.0030779815840810965,0.027968109073437497,0.0,0.027968109073437497,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
45,0.0006236421069078998,0.00021006864183960305,0.0008307920024466023,-2.91874630090061e-06,6.889580055563505e-05,0.0,6.889580055563505e-05,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
46,0.0012663607097983948,0.0034053286325942816,0.004590938157996008,-8.075118439666851e-05,-0.0018841913854118486,0.0,-0.0018841913854118486,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
47,0.0062338319280697,0.0001572437115901007,0.006981899752693296,0.000590824113033496,0.03758546848330779,0.0,0.03758546848330779,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
48,0.009233539881461902,0.0038983213303867004,0.015431983686435696,0.0023001224745870935,0.029109790723694517,0.0,0.029109790723694517,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
49,0.007678045834226099,0.026359028132047713,0.03500242228304862,0.0009653483167748056,0.02457754230266107,0.0,0.02457754230266107,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
50,0.0019429746062688963,8.37134327415015e-05,0.002340804601337995,0.0003141165623275974,0.009854894323543528,0.0,0.009854894323543528,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
51,0.00478260927387511,0.0006399361220374017,0.006329222999171408,0.0009066776032588958,0.00701731501670555,0.0,0.00701731501670555,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
52,0.0021413851892729957,0.003680756104918692,0.006284574531264589,0.0004624332370729012,0.004879306924139959,0.0,0.004879306924139959,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
53,0.0031883993102757024,0.023523200255622517,0.027791229609497814,0.0010796300435995942,0.004971200273116594,0.0,0.004971200273116594,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
54,0.007450231795504192,0.007687194393844798,0.017855555725074385,0.0027181295357253943,-0.004078083215783956,0.0,-0.004078083215783956,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
55,0.004212059309083305,0.0003199601972468033,0.004652276320336796,0.00012025681400668758,0.018756777641945166,0.0,0.018756777641945166,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
56,0.008440302086439394,0.01697337055377171,0.028586726644380972,0.0031730540041698674,0.03750059122109839,0.0,0.03750059122109839,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
