replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
53,0.005394926060028393,0.0232772217151041,0.12531944875856849,0.09664730098343599,0.008026302401924701,0.0,0.008026302401924701,0.0,0.0,900.0,,,0.0,900.0,3540.0,2640.0,0.0,0.0,1.0,1.0,True
54,0.010069439442214417,0.03726229009156343,0.16766958093436432,0.12033785140058648,0.026492288720484147,0.0,0.026492288720484147,0.0,0.0,790.0,,,0.0,790.0,3460.0,2670.0,0.0,0.0,1.0,1.0,True
55,0.0018981832542906973,0.0034901807792194,0.006797637319751498,0.0014092732862414012,0.03619109969104323,0.0,0.03619109969104323,0.0,0.0,130.0,170.0,40.0,0.0,130.0,170.0,40.0,0.0,0.0,0.0,0.0,False
56,0.006920608665965389,0.037863221490867516,0.1282893546981882,0.08350552454135529,0.005815580285310595,0.0,0.005815580285310595,0.0,0.0,1160.0,,,0.0,1160.0,2210.0,1050.0,0.0,0.0,1.0,1.0,True
57,0.01004845204335042,0.0377460925338744,0.1155413245877403,0.06774678001051548,0.03820563241713382,0.0,0.03820563241713382,0.0,0.0,1210.0,,,0.0,1210.0,3530.0,2320.0,0.0,0.0,1.0,1.0,True
58,0.002266794245671701,0.004956052136734397,0.006700882762026801,-0.0005219636203792968,0.032589913386387115,0.0,0.032589913386387115,0.0,0.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,False
59,0.013187151397049235,0.08927014945292622,0.1630554999460727,0.06059819909609726,0.017309461107581026,0.0,0.017309461107581026,0.0,0.0,,,,0.0,1590.0,1590.0,0.0,0.0,1.0,1.0,0.0,True
60,0.00429764136692351,0.015059639552824189,0.06682277024744782,0.04746548932770012,0.0014178654287213543,0.0,0.0014178654287213543,0.0,0.0,910.0,,,0.0,910.0,3270.0,2360.0,0.0,0.0,1.0,1.0,True
61,0.009993141710203893,0.008701092726485199,0.020469305270662805,0.0017750708339737131,0.059076147208919905,0.0,0.059076147208919905,0.0,10.0,410.0,550.0,130.0,10.0,410.0,550.0,130.0,0.0,0.0,0.0,0.0,False
62,0.0009763131541606004,0.0011533007067705998,0.0033383264993828987,0.0012087126384516984,0.00015639978542711375,0.0,0.00015639978542711375,0.0,0.0,70.0,120.0,50.0,0.0,70.0,120.0,50.0,0.0,0.0,0.0,0.0,False
63,0.014411674739651326,0.0923184549696302,0.15211563468059064,0.04538550497130911,0.008716129852288979,0.0,0.008716129852288979,0.0,0.0,,,,0.0,370.0,370.0,0.0,0.0,1.0,1.0,0.0,True
64,0.0044013903817295,0.020668324675487987,0.0234415677764791,-0.0016281472807383873,0.03329478905216987,0.0,0.03329478905216987,0.0,0.0,520.0,430.0,-90.0,0.0,520.0,430.0,-90.0,0.0,0.0,0.0,0.0,False
65,0.011517981155799994,0.02756104685791569,0.12232438590102448,0.0832453578873088,0.021097145293668573,0.0,0.021097145293668684,1.1102230246251565e-16,0.0,1320.0,,,0.0,1320.0,2640.0,1320.0,0.0,0.0,1.0,1.0,True
66,0.005463249296420503,0.0241573093839777,0.027154863881983793,-0.0024656947984144084,0.042290076461326764,0.0,0.042290076461326764,0.0,0.0,700.0,780.0,80.0,0.0,700.0,780.0,80.0,0.0,0.0,0.0,0.0,False
67,0.000493204362924899,0.0005351872346423987,0.0015831064283601988,0.000554714830792901,0.004033483515614611,0.0,0.004033483515614611,0.0,0.0,60.0,80.0,20.0,0.0,60.0,80.0,20.0,0.0,0.0,0.0,0.0,False
68,0.009084349965303995,0.054628867231217515,0.11033847683784448,0.04662525964132297,0.03567765316841909,0.0,0.03567765316841909,0.0,0.0,1200.0,,,0.0,1200.0,2930.0,1730.0,0.0,0.0,1.0,1.0,True
69,0.015759153298363304,0.04751588873836582,0.1288449649035786,0.06556992286684948,0.01845261436068768,-2.164524115499944e-11,0.018452614346115448,7.073008845281947e-12,0.0,1420.0,,,0.0,1420.0,2110.0,690.0,0.0,0.0,1.0,1.0,True
70,0.025604577179106594,0.021291930120797997,0.20188024961025158,0.154983742310347,0.12272952205040272,0.0,0.12272952205040272,0.0,0.0,760.0,,,0.0,760.0,4030.0,3270.0,0.0,0.0,1.0,1.0,True
71,0.007567118435683098,0.0172087371618571,0.02259288601237229,-0.002182969585167907,0.028654969086987725,0.0,0.028654969086987725,0.0,0.0,640.0,610.0,-30.0,0.0,640.0,610.0,-30.0,0.0,0.0,0.0,0.0,False
72,0.005335581608565898,0.0048231071486457,0.008317508002195911,-0.0018411807550156867,0.021005671344791255,0.0,0.021005671344791255,0.0,0.0,430.0,470.0,40.0,0.0,430.0,470.0,40.0,0.0,0.0,0.0,0.0,False
73,0.0042760231406233085,0.06117636804525528,0.10285892746706049,0.0374065362811819,0.005170466585891931,0.0,0.005170466585891931,0.0,0.0,1130.0,,,0.0,1130.0,3230.0,2100.0,0.0,0.0,1.0,1.0,True
74,0.0032706194204291106,0.022514115712173405,0.024154641284860917,-0.0016300938477415983,0.004583467439970401,0.0,0.004583467439970401,0.0,0.0,740.0,700.0,-40.0,0.0,740.0,700.0,-40.0,0.0,0.0,0.0,0.0,False
75,0.010394051763541301,0.0181939537713314,0.07205745142330319,0.04346944588843049,0.04830516611472563,0.0,0.04830516611472563,0.0,0.0,540.0,,,0.0,540.0,4070.0,3530.0,0.0,0.0,1.0,1.0,True
76,0.005156042786014281,0.0596767783430317,0.28178873274482297,0.216955911615777,0.0041844184120787276,0.0,0.0041844184120787276,0.0,0.0,,,,0.0,1870.0,1870.0,0.0,0.0,1.0,1.0,0.0,True
77,0.013586039356561608,0.03928050037655001,0.1300123798121581,0.07714584007904648,0.02521125529276602,0.0,0.02521125529276602,0.0,0.0,1080.0,,,0.0,1080.0,3360.0,2280.0,0.0,0.0,1.0,1.0,True
78,0.008371638922953423,0.026762572669818907,0.03359687912133072,-0.0015373324714416103,0.018986877204902552,0.0,0.018986877204902552,0.0,0.0,990.0,790.0,-200.0,0.0,990.0,790.0,-200.0,0.0,0.0,0.0,0.0,False
79,0.0037440371055495053,0.013926431849603696,0.017124053269892595,-0.0005464156852606067,0.01671921322905051,0.0,0.01671921322905051,0.0,0.0,480.0,480.0,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,False
80,0.0025248408113091036,0.012514861053010501,0.01692880247537981,0.001889100611060207,0.0048343993212061065,0.0,0.0048343993212061065,0.0,0.0,440.0,490.0,50.0,0.0,440.0,490.0,50.0,0.0,0.0,0.0,0.0,False
81,0.005451954201736109,0.06368232226031367,0.7015732085712134,0.6324389321091636,0.02239084182677531,0.0,0.02239084182677531,0.0,0.0,830.0,,,0.0,830.0,3250.0,2420.0,0.0,0.0,1.0,1.0,True
