R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,loss_T1750,loss_T3500,loss_T5250,loss_T7000,loss_T8750,loss_T10500,loss_T12250,loss_T14000
0.9885553511078218,0.0114446488921782,0.358606156364713,0.641393843635287,360.0,660.0,False,13760.0,0.0,0.9999999999999992,00,operational,210,0,0.0915571911374224,0.0457785955687114,0.0305190637124743,0.022889297784356,0.0183114382274848,0.0152595318562372,0.013079598733918,0.0114446488921782
0.98736124427252,0.01263875572748,0.3824537363534767,0.6175462636465233,360.0,660.0,False,13760.0,0.0,0.9999999999999992,10,operational,210,10,0.1011100458198366,0.0505550229099186,0.0337033486066125,0.0252775114549596,0.0202220091639676,0.0168516743033063,0.0144442922599772,0.01263875572748
0.9884270397576066,0.0115729602423934,0.358606156364713,0.641393843635287,360.0,680.0,False,13760.0,0.0,0.9999999999999992,01,operational,210,1,0.0925836819391431,0.0462918409695718,0.0308612273130479,0.0231459204847862,0.0185167363878289,0.015430613656524,0.013226240277021,0.0115729602423934
0.9869983367700786,0.0130016632299213,0.3824537363534767,0.6175462636465233,360.0,690.0,False,13760.0,0.0,0.9999999999999992,11,operational,210,11,0.104013305839367,0.0520066529196837,0.0346711019464561,0.026003326459842,0.0208026611678736,0.0173355509732282,0.0148590436913386,0.0130016632299213
0.9739733757378372,0.0260266242621628,0.5539609307642175,0.4460390692357825,360.0,1100.0,False,13760.0,0.0,0.9999999999999992,00,operational,240,0,0.2082129940972306,0.1041064970486497,0.0694043313657665,0.0520532485243251,0.04164259881946,0.0347021656828836,0.0297447134424716,0.0260266242621628
0.9708097163550844,0.0291902836449156,0.6264821636625414,0.3735178363374586,360.0,1100.0,False,13760.0,0.0,0.9999999999999992,10,operational,240,10,0.2335222691592492,0.1167611345796608,0.0778407563864408,0.0583805672898306,0.0467044538318645,0.0389203781932208,0.0333603241656178,0.0291902836449156
0.9707636908888756,0.0292363091111242,0.5539609307642175,0.4460390692357825,360.0,1270.0,False,13760.0,0.0,0.9999999999999992,01,operational,240,1,0.2338904723900385,0.1169452364444957,0.0779634909629973,0.058472618222248,0.0467780945777984,0.038981745481499,0.0334129246984277,0.0292363091111242
0.9221687368376752,0.0778312631623248,0.6264821636625414,0.3735178363374586,360.0,,True,13760.0,1.0,0.952587452726277,11,operational,240,11,0.2907622743700164,0.169087410828131,0.1285291229766616,0.1082499790509269,0.0960824926954861,0.0879708351251923,0.0821767940035539,0.0778312631623248
0.974358132448028,0.0256418675519719,0.463460211708903,0.5365397882910969,360.0,1050.0,False,13760.0,0.0,0.9999999999999992,00,operational,270,0,0.2051349404157658,0.1025674702078863,0.0683783134719245,0.0512837351039433,0.0410269880831549,0.0341891567359624,0.029304991487968,0.0256418675519719
0.973277325452794,0.026722674547206,0.4624821843241641,0.5375178156758359,360.0,1060.0,False,13760.0,0.0,0.9999999999999992,10,operational,270,10,0.2137813963776366,0.1068906981888223,0.0712604654592148,0.0534453490944114,0.0427562792755291,0.0356302327296077,0.030540199482521,0.026722674547206
0.9730888483812408,0.0269111516187593,0.463460211708903,0.5365397882910969,360.0,1100.0,False,13760.0,0.0,0.9999999999999992,01,operational,270,1,0.215289212949983,0.107644606475036,0.0717630709833576,0.0538223032375182,0.0430578425900145,0.0358815354916791,0.0307556018500106,0.0269111516187593
0.8863386227812472,0.1136613772187528,0.4624821843241641,0.5375178156758359,360.0,,True,13760.0,1.0,0.9061811327489596,11,operational,270,11,0.2525589469927382,0.1731889071218896,0.1467322271649398,0.1335038871864651,0.1255668831993801,0.1202755472079902,0.1164960214998546,0.1136613772187528
0.9718124851616432,0.0281875148383566,0.6916793730337041,0.3083206269662958,360.0,1100.0,False,13760.0,0.0,0.9999999999999992,00,operational,1,0,0.2255001187067933,0.1127500593534253,0.0751667062356171,0.0563750296767128,0.0451000237413702,0.0375833531178089,0.0322143026724076,0.0281875148383566
0.9682590712510522,0.0317409287489478,0.8029932044514004,0.1970067955485995,360.0,1100.0,False,13760.0,0.0,0.9999999999999992,10,operational,1,10,0.2539274299915136,0.12696371499579,0.0846424766638599,0.0634818574978952,0.0507854859983162,0.0423212383319301,0.0362753471416547,0.0317409287489478
